,Time,Open,High,Low,Close,Volume,CloseTime,QuoteAssetVolume,NumberOfTrades,TakerBaseVolume,TakerQuoteVolume,Ignore
102,1561945320000,0.0053994708174791095,0.005405031064758939,0.005398823592928018,0.005398838302576906,35.446261,1561945379999,390505.49311897,300,17.20753,189590.64929787,0
103,1561945380000,0.0053992256566643025,0.005399666946130955,0.005373125836319916,0.005382226205765564,135.517233,1561945439999,1487884.18651267,950,59.854563,657217.28711119,0
104,1561945440000,0.005382226205765564,0.005386668519729872,0.005376376668724261,0.005377921181857547,48.538925,1561945499999,532795.17409042,394,23.764036,260853.48947276,0
105,1561945500000,0.005377921181857547,0.00538862980624833,0.0053771464736827555,0.005387830581992058,25.037596,1561945559999,274809.04883174,288,15.726884,172638.43640523,0
106,1561945560000,0.00538862980624833,0.00544747330501838,0.005382863623884062,0.005399544365723551,233.023969,1561945619999,2577585.12527077,1105,76.898185,848087.65668879,0
107,1561945620000,0.005399534559290959,0.005411552342432813,0.005390757802120858,0.005393459474300034,304.548837,1561945679999,3356153.34766992,716,39.840504,439181.98804318,0
108,1561945680000,0.005391968896546005,0.005410439312333588,0.005390130190434951,0.00540602151445076,39.206855,1561945739999,432028.40111256,409,17.616283,194065.86354014,0
109,1561945740000,0.005406119578776684,0.0054156023990934304,0.00540518306446412,0.005412552598557227,33.423217,1561945799999,368763.60868618,400,9.841331,108581.10963494,0
110,1561945800000,0.005413832338010521,0.005418044200808911,0.005405898934043357,0.005410851182502464,87.5526,1561945859999,966061.50357967,446,65.973577,727870.22251229,0
111,1561945860000,0.005410846279286168,0.005410851182502464,0.005395504115495527,0.005400902556637584,40.999733,1561945919999,451630.33304825,357,13.866404,152760.20957461,0
112,1561945920000,0.005400936879151657,0.005416332978321556,0.005398441142056919,0.005413739176900895,93.034572,1561945979999,1024909.82111763,465,24.927609,274843.51784993,0
113,1561945980000,0.005413748983333486,0.005415916204936384,0.005400314170682046,0.005402775585262712,21.796234,1561946039999,240318.73406678,239,7.861046,86642.19547714,0
114,1561946040000,0.005401025137044988,0.005405369386683373,0.005390738189255674,0.0053954403736836765,28.350251,1561946099999,312067.24946492,391,14.979108,164891.73893113,0
115,1561946100000,0.0053954403736836765,0.005402197005739766,0.005391380510590469,0.005396916241788817,30.484977,1561946159999,335566.90855004,355,18.840937,207424.3886046,0
116,1561946160000,0.005396921145005113,0.0054079926074018115,0.005396916241788817,0.005405688095742623,17.179326,1561946219999,189314.06629489,343,10.208036,112485.02606749,0
117,1561946220000,0.005405688095742623,0.005415504334767507,0.00540276577883012,0.005412488856745377,43.475344,1561946279999,479638.90947166,470,20.943399,231108.2688926,0
118,1561946280000,0.005414082402041625,0.005414082402041625,0.005396077791802176,0.005396077791802176,37.208207,1561946339999,410007.67198713,394,20.370473,224456.16897807,0
119,1561946340000,0.005398284239135442,0.005402108747846436,0.005373096417022139,0.0053804659511152465,79.060533,1561946399999,868538.57579658,887,32.056052,352171.61829682,0
120,1561946400000,0.005384295363042537,0.005384305169475129,0.0053606177315484475,0.00536219166397951,54.525939,1561946459999,597135.21745494,712,20.727245,227005.42684698,0
121,1561946460000,0.005363701854598723,0.005376209959370192,0.005359328185662561,0.005361284568964723,77.23563,1561946519999,845391.10591517,742,27.564977,301815.1777294,0
122,1561946520000,0.005360799150551404,0.005370095648648898,0.005347938014206613,0.005353473745404963,68.293391,1561946579999,746469.92652487,686,23.846776,260531.79342403,0
123,1561946580000,0.0053553467740300904,0.0053568079324863415,0.005328815470651643,0.00533327249426484,93.199012,1561946639999,1015965.06630055,899,26.783866,292219.8515447,0
124,1561946640000,0.0053314435945863775,0.0053504827834643135,0.005331301401313789,0.005336641003860292,90.826728,1561946699999,989719.99710253,776,50.64774,551958.24561178,0
125,1561946700000,0.005336611584562515,0.005354312195391603,0.005331296498097493,0.005353468842188666,111.619233,1561946759999,1218060.15925376,480,79.110723,863482.68992022,0
126,1561946760000,0.0053552879354345365,0.005360495151141044,0.005348796077058439,0.0053575090924166905,46.060521,1561946819999,503089.73895767,460,28.10195,306964.0650522,0
127,1561946820000,0.0053566804488626414,0.005366079914502354,0.0053513506527487304,0.005364275530905372,29.065993,1561946879999,317873.01943667,305,12.229076,133737.12011286,0
128,1561946880000,0.005364868820077206,0.00536706546097788,0.005350164074405064,0.005356253869044877,30.653066,1561946939999,335037.73195866,298,14.420864,157627.28317384,0
129,1561946940000,0.0053566902552952345,0.005360598118683262,0.0053396123529357575,0.00534084306022609,26.914419,1561946999999,293877.43385306,358,17.377843,189815.96446708,0
130,1561947000000,0.005342720992067514,0.005364118627983895,0.005340872479523867,0.005362564308418017,37.888149,1561947059999,413623.94065269,425,25.972749,283589.942088,0
131,1561947060000,0.005362593727715794,0.00537154209745626,0.005356905996812265,0.005361451278318791,46.097986,1561947119999,504301.9685394,461,19.579654,214273.88652905,0
132,1561947120000,0.005362069083572106,0.00536749694401194,0.005345050019808183,0.005365849463336435,52.197304,1561947179999,570380.52201864,450,14.465167,158176.26888364,0
133,1561947180000,0.005366957590219364,0.005367957846343778,0.005350830911821339,0.0053519341354879724,29.240853,1561947239999,319691.02077475,376,11.008029,120326.67339607,0
134,1561947240000,0.0053519341354879724,0.005356910900028561,0.005345466793193355,0.005348810786707328,19.115532,1561947299999,208639.81812576,290,10.730589,117116.59105688,0
135,1561947300000,0.005348805883491031,0.005351870393676123,0.005341838413134207,0.005348644077353259,60.25095,1561947359999,656916.72580795,537,28.398717,309661.88997238,0
136,1561947360000,0.005350786782874674,0.005368943392819303,0.005344505762799311,0.005365427786734967,34.23438,1561947419999,374101.06751302,425,22.506543,245964.46306132,0
137,1561947420000,0.0053654228835186705,0.005371473452428115,0.0053582102523470395,0.005371473452428115,27.980648,1561947479999,306207.09352355,344,16.971149,185749.76438835,0
138,1561947480000,0.005369904423213347,0.005380941563095973,0.005364407917745368,0.005373052288075474,53.307588,1561947539999,583970.5357222,545,38.696343,423922.36150536,0
139,1561947540000,0.0053735279000562,0.005393047604131158,0.005372218741305129,0.005387202970306151,70.638911,1561947599999,775473.94554998,720,49.684547,545432.8528107,0
140,1561947600000,0.0053871980670898555,0.0054012016528316486,0.005383221558673681,0.005397264370145843,91.772131,1561947659999,1009293.41840298,655,50.037354,550387.41300035,0
141,1561947660000,0.005395798308473296,0.005423785867091698,0.005392027735141559,0.005420015293759962,104.546006,1561947719999,1154356.75139072,988,71.327915,787626.01428354,0
142,1561947720000,0.005417318524797082,0.005437666872426088,0.00541641633299859,0.005423937866796878,89.613388,1561947779999,991948.37130781,816,46.721803,517275.83151703,0
143,1561947780000,0.005424168317962797,0.005424379156263532,0.005418054007241503,0.0054228836752932075,336.812427,1561947839999,3724056.66562947,589,230.907223,2553685.67069774,0
144,1561947840000,0.005421755935545093,0.005422957223537649,0.00541855413530371,0.005422957223537649,217.880499,1561947899999,2409690.70174797,668,189.063379,2091015.6534713,0
145,1561947900000,0.005421834387005831,0.005425335283441281,0.005418054007241503,0.005423957479662064,349.555762,1561947959999,3862810.86834419,807,34.640088,382882.6500891,0
146,1561947960000,0.005423957479662064,0.005425899153315337,0.005420520325038465,0.005424962639002774,29.840479,1561948019999,330086.95989007,375,14.516809,160592.66402948,0
147,1561948020000,0.005426512055352355,0.005426673861490128,0.005418054007241503,0.005418093232971872,120.155761,1561948079999,1327863.05360738,588,26.459218,292466.21704514,0
148,1561948080000,0.005418103039404465,0.005423256319731715,0.005418054007241503,0.005423256319731715,112.144468,1561948139999,1239339.797589,554,23.712625,262156.42594511,0
149,1561948140000,0.005423687802765775,0.005436156681806875,0.0054220550317391585,0.005433342235652887,38.387456,1561948199999,425068.14336002,444,23.46013,259777.62201923,0
150,1561948200000,0.005433342235652887,0.005444702987811058,0.005433342235652887,0.005435808553449848,126.007354,1561948259999,1397679.97690072,694,69.194246,767547.17022282,0
151,1561948260000,0.0054350632645728345,0.005456818835278834,0.0054350632645728345,0.005454813419813711,58.134946,1561948319999,645957.96105522,657,37.728494,419208.38160663,0
152,1561948320000,0.00545504387097963,0.005465296496254872,0.005449400269022766,0.00546415404685787,58.506792,1561948379999,651442.10160302,637,38.936856,433617.20345,0
153,1561948380000,0.005463016500677164,0.005466586042140758,0.005442570088722234,0.005447958723431698,73.328115,1561948439999,815981.7335522,628,16.383355,182314.43658343,0
154,1561948440000,0.005445874856505837,0.005453288519545609,0.00543080727282778,0.005436892164251297,144.319084,1561948499999,1602256.88371434,712,117.966098,1309888.0882986,0
155,1561948500000,0.005436848035304632,0.005440584286122295,0.005426526765001244,0.005430356176928534,103.79049,1561948559999,1150460.30923198,537,80.154412,888545.63234086,0
156,1561948560000,0.005430140435411504,0.005430140435411504,0.005420765485853273,0.00542373193171244,42.86346,1561948619999,474283.86593928,469,23.437138,259337.27614323,0
157,1561948620000,0.005424094769718355,0.00544041267355193,0.005424094769718355,0.005435818359882441,32.314173,1561948679999,357990.34456899,363,18.517205,205119.99738866,0
158,1561948680000,0.005434832813406915,0.00543570558590763,0.005422957223537649,0.005422957223537649,49.163646,1561948739999,544342.74648371,235,12.151681,134598.36912835,0
159,1561948740000,0.005424511543103527,0.005425438250983499,0.005418054007241503,0.0054202653577910655,192.58028,1561948799999,2128521.60700664,350,78.309494,865704.34232207,0
160,1561948800000,0.0054203830349821725,0.005421491161865102,0.005418054007241503,0.005418054007241503,80.528187,1561948859999,889952.40479862,321,24.252025,268078.35105924,0
161,1561948860000,0.005418054007241503,0.005430758240664818,0.005418054007241503,0.005426580700380501,97.7933,1561948919999,1081387.48422869,378,63.587388,703132.93335074,0
162,1561948920000,0.005426252184888659,0.005434077718097309,0.005426252184888659,0.005432876430104753,13.488971,1561948979999,149402.0798554,181,7.310788,80973.77053631,0
163,1561948980000,0.0054343277821284125,0.005436367520107609,0.0054195543914281235,0.005421883419168793,29.850107,1561949039999,330273.64440093,381,13.669063,151247.04340731,0
164,1561949040000,0.005420799808367345,0.005429556952672262,0.005418054007241503,0.005429556952672262,192.339521,1561949099999,2125564.65582093,356,78.357383,865960.09227848,0
165,1561949100000,0.005429556952672262,0.005434886748786173,0.00542819876175823,0.005432087012281074,16.426741,1561949159999,181982.87549047,252,7.424606,82253.53777291,0
166,1561949160000,0.005432087012281074,0.005442408282584461,0.005430321854414461,0.005439446739941589,26.960396,1561949219999,298966.71321207,304,17.976174,199349.69164137,0
167,1561949220000,0.005438672031766798,0.0054419964124155845,0.005422020709225085,0.0054240065118250245,40.290829,1561949279999,446368.87243029,405,24.557516,272055.96497211,0
168,1561949280000,0.005424011415041321,0.005426271797753845,0.005418063813674096,0.005420451680010319,31.043804,1561949339999,343216.05843359,281,10.410854,115105.71983861,0
169,1561949340000,0.005419147424475543,0.005429757984540404,0.005419147424475543,0.005425649089284234,21.325866,1561949399999,235944.76753202,289,12.623288,139648.33871482,0
170,1561949400000,0.005425418638118315,0.005436343004026128,0.00542377115744281,0.0054336609447121365,33.960812,1561949459999,376134.1676615,316,25.780412,285538.04186536,0
171,1561949460000,0.005434347394993597,0.005441800283763739,0.005433548170737325,0.005439000547258639,41.674867,1561949519999,462258.6917982,324,24.671334,273657.05548313,0
172,1561949520000,0.005438995644042343,0.005446821177250993,0.005430204177223353,0.0054304591444707525,45.580544,1561949579999,505800.51343391,515,24.095164,267417.95367024,0
173,1561949580000,0.005432111528362554,0.0054393535788319625,0.005429797210270774,0.005435269199657273,32.043806,1561949639999,355198.76598778,352,16.062265,178053.08153189,0
